Application:, Trigno Discover (1.6.5)
Date/Time:, 05/02/2025 17:19:14
Collection Length (seconds):, 45.225
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9545898, -0.203125, -0.2744141, -16.8902435, -7.5609756, 3.7804878, -0.0018463
0.9550781, -0.1987305, -0.2763672, -17.439024, -7.9268293, 3.2317073, -0.0263523
0.953125, -0.1977539, -0.2817383, -17.5, -8.780488, 2.7439024, -0.0417945
0.9511719, -0.199707, -0.2836914, -18.1097565, -9.2073174, 2.804878, -0.0595865
0.9458008, -0.2006836, -0.2861328, -18.7195129, -9.5121956, 2.5609756, -0.0746929
0.9423828, -0.2026367, -0.2924805, -19.0243912, -9.6341467, 2.4390244, -0.0757
0.9375, -0.2041016, -0.2890625, -19.1463413, -9.5731707, 2.4390244, -0.0505226
0.9467773, -0.2011719, -0.2900391, -19.2682934, -9.5731707, 2.3780489, -0.0115816
0.9458008, -0.1992188, -0.2866211, -19.2682934, -10.060976, 2.4390244, 0.0240024
0.9550781, -0.203125, -0.2817383, -18.8414631, -10.3658543, 2.0731707, 0.0522011
0.9550781, -0.1972656, -0.2797852, -18.6585369, -10.3658543, 2.1341465, 0.0602579
0.9560547, -0.1933594, -0.2783203, -18.4756107, -10.060976, 1.8902439, 0.0441444
0.9526367, -0.1972656, -0.2802734, -18.0487804, -9.2682924, 1.4634147, 0.0226596
0.9536133, -0.1972656, -0.2880859, -18.2926826, -9.0243902, 1.5853659, -0.0001678
0.9536133, -0.199707, -0.2919922, -18.6585369, -9.1463413, 1.8902439, -0.0162814
0.9521484, -0.1972656, -0.2944336, -19.3902435, -9.3292685, 1.7073171, -0.0337377
0.9516602, -0.1958008, -0.2939453, -19.0853672, -9.4512196, 2.2560976, -0.0552224
0.9594727, -0.1923828, -0.2871094, -18.3536587, -9.1463413, 2.5, -0.0659648
0.965332, -0.1845703, -0.2763672, -17.9878044, -9.0243902, 2.195122, -0.0710002
0.96875, -0.1884766, -0.2788086, -16.8902435, -8.1097565, 2.1341465, -0.0703288
0.9697266, -0.1914062, -0.2802734, -16.4634151, -7.9268293, 1.8292683, -0.0763714
0.9658203, -0.190918, -0.2807617, -16.5853653, -7.5609756, 2.0731707, -0.0726787
0.953125, -0.1894531, -0.2753906, -16.9512196, -7.7439027, 2.2560976, -0.0632792
0.9575195, -0.1860352, -0.2695312, -17.439024, -7.5, 2.6219513, -0.0569009
0.9526367, -0.1835938, -0.2709961, -17.0121956, -8.2317076, 2.3780489, -0.0560616
0.9550781, -0.1787109, -0.2739258, -17.2560978, -8.3536587, 2.3170731, -0.0538796
0.9594727, -0.1816406, -0.2768555, -17.5, -8.9634151, 2.1341465, -0.0404517
0.9624023, -0.1865234, -0.2768555, -17.5, -9.0853662, 2.1341465, -0.0370947
0.965332, -0.1933594, -0.265625, -17.439024, -9.0853662, 2.4390244, -0.0317235
0.9667969, -0.2021484, -0.2641602, -17.3780499, -9.2682924, 2.5609756, -0.026688
0.9682617, -0.1982422, -0.262207, -16.5243912, -8.9024391, 2.8658538, -0.0250095
0.9628906, -0.1933594, -0.2607422, -15.7317076, -8.780488, 2.6829269, -0.0216526
0.9628906, -0.1904297, -0.2612305, -14.6951227, -8.5975609, 2.4390244, -0.0243381
0.9609375, -0.1894531, -0.2675781, -14.4512196, -8.4756098, 2.2560976, -0.0260166
0.9614258, -0.1884766, -0.2724609, -14.6951227, -8.780488, 1.7682927, -0.0258488
0.9658203, -0.1918945, -0.2773438, -15, -9.4512196, 1.7682927, -0.0231632
0.96875, -0.1962891, -0.2807617, -14.9390249, -9.6951218, 1.8902439, -0.0204776
0.96875, -0.1982422, -0.2753906, -14.9390249, -9.8780489, 1.6463414, -0.0216526
0.9707031, -0.203125, -0.2749023, -14.7560978, -9.7560978, 1.4634147, -0.0223239
0.9760742, -0.2094727, -0.2734375, -13.5975609, -9.1463413, 1.5853659, -0.0171206
0.9760742, -0.2041016, -0.2753906, -13.1097565, -9.0853662, 1.4634147, -0.0203098
0.9755859, -0.2011719, -0.277832, -12.3170738, -8.719512, 1.1585366, -0.0236667
0.9707031, -0.1967773, -0.2792969, -12.1951218, -8.4146347, 1.5243902, -0.0203098
0.9697266, -0.1953125, -0.2802734, -12.1341467, -8.4756098, 1.097561, -0.0182956
0.9702148, -0.1884766, -0.2817383, -11.8902445, -8.1707315, 0.9146342, -0.0182956
0.9726562, -0.1879883, -0.2817383, -12.1951218, -8.719512, 1.0365853, -0.0186313
0.972168, -0.1875, -0.2851562, -12.3780489, -8.780488, 1.0365853, -0.0149386
0.96875, -0.184082, -0.2851562, -12.7439032, -8.6585369, 1.097561, -0.0179599
0.9692383, -0.1811523, -0.2890625, -12.9878054, -8.719512, 1.2195122, -0.0193027
0.9702148, -0.1743164, -0.2895508, -12.8658543, -8.5975609, 1.402439, -0.0169528
0.9643555, -0.1699219, -0.2817383, -12.6829271, -8.2926826, 1.7073171, -0.0193027
0.965332, -0.1728516, -0.2856445, -12.9878054, -8.5975609, 1.7682927, -0.0179599
0.9672852, -0.1762695, -0.2851562, -12.9268293, -8.719512, 1.402439, -0.0159457
0.9643555, -0.1879883, -0.2890625, -12.560976, -8.5975609, 1.5243902, -0.01561
0.9663086, -0.1918945, -0.2836914, -12.9878054, -8.9024391, 1.8292683, -0.0159457
0.9624023, -0.1992188, -0.2763672, -12.8658543, -8.6585369, 2.0731707, -0.0099031
