Application:, Trigno Discover (1.6.5)
Date/Time:, 30/01/2025 09:27:09
Collection Length (seconds):, 45.171
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-1.0253906, 0.152832, -0.027832, 6.5243902, -7.5, 11.219512, -0.0433051
-1.0200195, 0.1489258, -0.0249023, 6.7682929, -8.2317076, 11.219512, -0.0446479
-1.0161133, 0.140625, -0.0200195, 6.7682929, -8.1707315, 11.219512, -0.0439765
-1.0107422, 0.121582, -0.0239258, 6.8292685, -7.8048782, 11.4024391, -0.0392767
-1.0073242, 0.1206055, -0.027832, 7.1341467, -7.9268293, 11.0975609, -0.0419623
-1.0083008, 0.1142578, -0.0405273, 6.8292685, -8.1707315, 10.7317076, -0.0486763
-1.0058594, 0.1171875, -0.0478516, 6.2195125, -8.2317076, 10.3658543, -0.0439765
-1.0053711, 0.1225586, -0.0566406, 5.7926831, -7.6219516, 10.4878054, -0.049012
-1.0068359, 0.1245117, -0.0615234, 4.390244, -6.890244, 10.9756098, -0.0406195
-0.9980469, 0.1298828, -0.059082, 3.9634147, -6.7682929, 11.1585369, -0.0379339
-0.9863281, 0.1352539, -0.0585938, 2.6219513, -6.6463418, 11.280488, -0.0412909
-0.9785156, 0.1381836, -0.0595703, 1.8902439, -6.890244, 11.4024391, -0.0406195
-0.96875, 0.137207, -0.0649414, 1.7682927, -7.0121951, 10.9756098, -0.0419623
-0.9648438, 0.1386719, -0.0654297, 1.2804878, -6.4634147, 10.4878054, -0.0372625
-0.9658203, 0.1479492, -0.059082, 1.2804878, -6.280488, 10.1829271, -0.0406195
-0.9643555, 0.1572266, -0.0610352, 0.8536586, -5.2439027, 9.4512196, -0.0392767
-0.9790039, 0.1787109, -0.0581055, 0.1829268, -4.8780489, 9.5121956, -0.0433051
-0.9814453, 0.1928711, -0.0595703, -1.3414634, -4.8780489, 9.6341467, -0.0433051
-0.9907227, 0.2016602, -0.0576172, -2.5, -5.1219511, 9.4512196, -0.0406195
-0.9960938, 0.2050781, -0.0498047, -4.4512196, -5.7317076, 9.5121956, -0.0439765
-1.0019531, 0.1875, -0.0419922, -5.1829271, -6.280488, 9.3902445, -0.0399481
-1, 0.1503906, -0.0385742, -6.280488, -6.8292685, 9.2682924, -0.0372625
-1.0029297, 0.1289062, -0.03125, -6.7073174, -6.8292685, 9.2073174, -0.0406195
-1.0092773, 0.0922852, -0.0166016, -6.7682929, -7.0731707, 9.2073174, -0.0412909
-1.0126953, 0.0825195, -0.0083008, -6.1585369, -7.2560978, 9.1463413, -0.0493477
-1.0292969, 0.0771484, -0.0083008, -5.670732, -6.8292685, 9.3292685, -0.0506905
-1.0322266, 0.0820312, -0.019043, -4.9390244, -6.9512196, 9.3292685, -0.0412909
-1.0400391, 0.0976562, -0.0424805, -4.5731707, -7.3170733, 9.0243902, -0.0433051
-1.0415039, 0.1035156, -0.0522461, -4.0853658, -8.1097565, 9.1463413, -0.0369268
-1.0332031, 0.1044922, -0.065918, -3.9024391, -7.8048782, 9.2682924, -0.0352483
-1.0292969, 0.1044922, -0.0615234, -3.7195122, -6.9512196, 9.6951218, -0.0459907
-1.0170898, 0.1049805, -0.0483398, -3.5975611, -6.2195125, 9.8170738, -0.0433051
-1.0112305, 0.1108398, -0.0351562, -3.2317073, -6.0975609, 10, -0.0459907
-1.0058594, 0.1191406, -0.0400391, -2.9878049, -6.6463418, 9.8780489, -0.0480049
-1.0136719, 0.1337891, -0.0498047, -2.3170731, -7.4390244, 9.7560978, -0.0513619
-1.0112305, 0.1391602, -0.0532227, -1.6463414, -7.0731707, 10.1219511, -0.0459907
-1.0058594, 0.1401367, -0.0429688, -1.402439, -6.8292685, 10.3048782, -0.0453193
-1.0048828, 0.1386719, -0.0400391, -0.4268293, -7.6219516, 10.1219511, -0.0480049
-1.0019531, 0.1401367, -0.0517578, -0.4268293, -7.4390244, 9.8170738, -0.0433051
-1.0058594, 0.140625, -0.0605469, -0.5487805, -6.8292685, 9.7560978, -0.0406195
-1.0068359, 0.1401367, -0.0615234, -1.4634147, -7.1341467, 9.5731707, -0.0436408
-1.0024414, 0.1430664, -0.0605469, -1.4634147, -7.6219516, 9.3292685, -0.0406195
-1.0083008, 0.1503906, -0.059082, -1.8902439, -8.1097565, 9.3902445, -0.0453193
-1.0112305, 0.1474609, -0.0625, -2.2560976, -7.9878049, 9.8170738, -0.0433051
-1.003418, 0.1430664, -0.0639648, -2.7439024, -7.5609756, 9.8170738, -0.0419623
-0.9985352, 0.1254883, -0.0444336, -3.5365853, -7.3780489, 10.1829271, -0.0433051
-0.9897461, 0.1220703, -0.0375977, -3.4756098, -7.5, 10.060976, -0.0500191
-0.9956055, 0.1152344, -0.0302734, -3.5365853, -7.6829271, 9.8170738, -0.0540475
-0.9951172, 0.1166992, -0.0244141, -2.8658538, -8.780488, 9.5121956, -0.0493477
-0.9907227, 0.121582, -0.0288086, -2.7439024, -9.2073174, 9.0853662, -0.0503548
-0.9926758, 0.1225586, -0.0302734, -2.5, -8.3536587, 8.841464, -0.0486763
-0.9990234, 0.1293945, -0.03125, -2.6219513, -7.9268293, 8.841464, -0.0433051
-1.0068359, 0.1342773, -0.0302734, -2.5, -8.0487804, 8.6585369, -0.0446479
-1.0161133, 0.1416016, -0.0263672, -2.5, -8.2926826, 8.780488, -0.0439765
-1.0214844, 0.1401367, -0.0263672, -1.8902439, -9.2073174, 8.9024391, -0.0433051
