Application:, Trigno Discover (1.6.5)
Date/Time:, 29/01/2025 16:14:55
Collection Length (seconds):, 39.555
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
0.9848633, -0.0673828, -0.1083984, -3.6585367, -9.5121956, 8.3536587, -0.0409552
0.9863281, -0.0566406, -0.1186523, -3.1097562, -9.1463413, 8.1707315, -0.0386053
0.9858398, -0.0561523, -0.1240234, -3.4756098, -9.0853662, 7.8658538, -0.0419623
0.984375, -0.0512695, -0.1337891, -3.7804878, -9.2073174, 7.6829271, -0.0433051
0.9819336, -0.050293, -0.1362305, -5.2439027, -10, 7.0731707, -0.0419623
0.9794922, -0.0595703, -0.1333008, -6.890244, -10.9146347, 6.6463418, -0.0433051
0.9814453, -0.0610352, -0.1313477, -7.5, -11.8292685, 6.4634147, -0.0412909
0.9741211, -0.0712891, -0.1191406, -8.6585369, -12.7439032, 6.280488, -0.0406195
0.9790039, -0.0791016, -0.1108398, -8.9024391, -12.9878054, 6.5243902, -0.0392767
0.9819336, -0.081543, -0.1005859, -8.4756098, -13.2926836, 6.9512196, -0.0426337
0.9868164, -0.0849609, -0.090332, -8.2926826, -13.1097565, 7.1951222, -0.0446479
0.9892578, -0.0859375, -0.0908203, -6.7073174, -12.4390249, 7.0731707, -0.0446479
0.9995117, -0.0834961, -0.097168, -6.0975609, -11.8292685, 7.0731707, -0.0500191
1.0019531, -0.0830078, -0.1064453, -4.7560978, -10.8536587, 7.3170733, -0.0540475
1.0117188, -0.0825195, -0.1206055, -4.5121951, -10.6097565, 7.3780489, -0.0520333
1.0141602, -0.0795898, -0.1269531, -4.9390244, -10.1829271, 7.7439027, -0.0486763
1.0141602, -0.0712891, -0.1386719, -5.8536587, -10.1829271, 8.0487804, -0.0513619
1.0107422, -0.0649414, -0.1367188, -6.2195125, -10.4878054, 7.8658538, -0.0513619
1.0097656, -0.0600586, -0.1386719, -7.1341467, -10.9146347, 7.8658538, -0.0469978
1.0068359, -0.0625, -0.1337891, -7.3780489, -10.9146347, 7.5, -0.0473335
1.0043945, -0.0673828, -0.1318359, -7.7439027, -10.8536587, 6.5243902, -0.0493477
0.9975586, -0.0766602, -0.1318359, -8.1707315, -11.0975609, 6.4024391, -0.0496834
0.9956055, -0.0839844, -0.1289062, -8.1707315, -10.8536587, 5.9146342, -0.0453193
0.9912109, -0.0898438, -0.1264648, -7.9878049, -10.9146347, 5.670732, -0.0459907
0.9873047, -0.0922852, -0.1225586, -8.4146347, -10.7317076, 5.609756, -0.0446479
0.9819336, -0.1025391, -0.1206055, -7.9878049, -10.6707315, 5.7926831, -0.0473335
0.9804688, -0.105957, -0.1176758, -7.3780489, -10.6707315, 6.1585369, -0.0506905
0.9804688, -0.1123047, -0.1147461, -6.0365853, -10.5487804, 6.2195125, -0.0500191
0.9848633, -0.1088867, -0.1157227, -5.2439027, -10.3048782, 6.2195125, -0.0473335
0.9882812, -0.109375, -0.1210938, -3.4756098, -9.5121956, 6.0975609, -0.0500191
0.9946289, -0.1103516, -0.1337891, -2.6219513, -9.1463413, 6.4024391, -0.0493477
0.9985352, -0.1069336, -0.1401367, -1.2804878, -8.6585369, 6.4024391, -0.0459907
1.0063477, -0.0996094, -0.1538086, -0.6707317, -7.8658538, 6.6463418, -0.0466621
1.0063477, -0.0913086, -0.1538086, -1.402439, -7.9878049, 7.1341467, -0.0500191
1.0078125, -0.0810547, -0.1479492, -1.8292683, -8.1097565, 7.2560978, -0.0500191
1.0102539, -0.0776367, -0.1420898, -3.3536587, -8.9024391, 7.7439027, -0.0486763
1.0073242, -0.0722656, -0.1333008, -4.0243902, -9.2073174, 7.5609756, -0.0433051
1.012207, -0.0708008, -0.1259766, -4.2682929, -9.5731707, 7.2560978, -0.0463264
1.0146484, -0.0761719, -0.1181641, -3.7804878, -9.5731707, 6.3414636, -0.0486763
1.0092773, -0.0869141, -0.1098633, -3.5365853, -9.2682924, 5.8536587, -0.0486763
1.012207, -0.0991211, -0.1123047, -2.195122, -8.5975609, 4.8780489, -0.0530404
1.003418, -0.1162109, -0.1157227, -1.0365853, -8.3536587, 4.9390244, -0.0513619
0.9980469, -0.1210938, -0.1152344, 0.9756098, -7.7439027, 5, -0.0513619
0.9902344, -0.1269531, -0.1152344, 1.5853659, -7.7439027, 5.2439027, -0.0486763
0.9868164, -0.1259766, -0.1098633, 2.6219513, -7.6219516, 6.0365853, -0.0560616
0.9868164, -0.1313477, -0.1064453, 3.3536587, -8.0487804, 6.280488, -0.0594186
0.9863281, -0.1289062, -0.1025391, 4.8170733, -7.9878049, 6.8292685, -0.0540475
0.9951172, -0.1206055, -0.0927734, 5.7926831, -8.1097565, 7.5, -0.056733
0.9936523, -0.121582, -0.0864258, 8.5365858, -7.1341467, 7.6829271, -0.0597543
1.0009766, -0.1171875, -0.0883789, 10.8536587, -5.8536587, 7.6829271, -0.0594186
1.0009766, -0.1162109, -0.0947266, 12.1951218, -5.609756, 7.6829271, -0.056733
1.0029297, -0.1123047, -0.1054688, 14.2073174, -5.1829271, 7.2560978, -0.0493477
1.0029297, -0.1123047, -0.121582, 14.3902445, -5.0609756, 7.3170733, -0.0513619
0.9975586, -0.1123047, -0.1298828, 14.6341467, -5.1219511, 7.1951222, -0.0459907
1, -0.1069336, -0.1352539, 14.2073174, -5.2439027, 7.7439027, -0.0419623
