,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 14:43:53,,,,,
1,Collection Length (seconds):,44.6985,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
6,-0.9301758,0.4467773,0.0415039,-12.7439032,-15.1829271,1.4634147,-0.0412909
7,-0.9272461,0.4467773,0.0400391,-13.4756098,-15.3658543,1.7073171,-0.0412909
8,-0.9335938,0.4379883,0.0439453,-13.780488,-15.5487804,1.4634147,-0.0406195
9,-0.9355469,0.4345703,0.0493164,-14.4512196,-15.7317076,1.4634147,-0.0406195
10,-0.9375,0.4321289,0.0615234,-14.7560978,-15.9756098,1.2195122,-0.0379339
11,-0.9370117,0.4291992,0.0688477,-14.8780489,-16.4024391,1.5243902,-0.0365911
12,-0.9433594,0.4287109,0.0703125,-14.6341467,-16.5243912,1.5243902,-0.0406195
13,-0.9423828,0.4326172,0.0634766,-13.9024391,-17.0731716,1.3414634,-0.0392767
14,-0.9375,0.4414062,0.0634766,-13.7195129,-17.439024,1.4634147,-0.0365911
15,-0.9394531,0.4492188,0.0600586,-13.9634151,-17.3780499,1.5243902,-0.0352483
16,-0.9418945,0.4482422,0.059082,-14.4512196,-18.1097565,1.7682927,-0.0365911
17,-0.9389648,0.4370117,0.0595703,-15,-18.2926826,1.8902439,-0.0392767
18,-0.9399414,0.4301758,0.0625,-14.8780489,-18.2317085,2.5,-0.0379339
19,-0.9448242,0.4243164,0.0698242,-14.9390249,-18.5975609,2.5,-0.0328985
20,-0.9453125,0.421875,0.0771484,-14.6951227,-18.9634151,2.7439024,-0.0386053
21,-0.9414062,0.4160156,0.0898438,-14.2682934,-19.3902435,2.5,-0.0379339
22,-0.9418945,0.4169922,0.0864258,-14.2073174,-19.5121956,2.7439024,-0.0372625
23,-0.9453125,0.418457,0.0810547,-14.0853662,-19.3902435,3.1707318,-0.0379339
24,-0.9428711,0.4233398,0.0844727,-13.9634151,-19.8780499,3.1707318,-0.0365911
25,-0.9335938,0.4287109,0.0966797,-13.5975609,-20.4878044,2.8658538,-0.0339055
26,-0.9384766,0.4370117,0.0947266,-13.4146347,-20.4268303,2.9268293,-0.0365911
27,-0.9345703,0.440918,0.0883789,-13.4146347,-20.3658543,3.4146342,-0.0372625
28,-0.9301758,0.4399414,0.0864258,-13.5975609,-20.4878044,3.5365853,-0.0369268
29,-0.9282227,0.4389648,0.0849609,-14.5121956,-20.5487804,3.6585367,-0.0392767
30,-0.9267578,0.4316406,0.0859375,-14.7560978,-20.1829281,3.7195122,-0.0406195
31,-0.9233398,0.4267578,0.090332,-15.6097565,-20.060976,3.5975611,-0.0386053
32,-0.9248047,0.4121094,0.0981445,-16.0975609,-20,4.3292685,-0.0392767
33,-0.9316406,0.4135742,0.1015625,-15.9756098,-19.8780499,4.8780489,-0.0386053
34,-0.9326172,0.4003906,0.1030273,-15.060976,-19.3902435,5.4268293,-0.0345769
35,-0.9370117,0.4033203,0.1035156,-14.7560978,-19.6951218,5.4878049,-0.0339055
36,-0.9433594,0.4077148,0.1098633,-13.841464,-19.7560978,5.3658538,-0.0352483
