Application:, Trigno Discover (1.6.5)
Date/Time:, 03/02/2025 10:48:19
Collection Length (seconds):, 51.0705
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-0.9306641, 0.0698242, 0.3056641, -14.5731707, -6.890244, 4.6951222, -0.1104448
-0.9291992, 0.0708008, 0.3037109, -13.4756098, -6.2195125, 4.0243902, -0.0956741
-0.9326172, 0.0634766, 0.3027344, -12.2560978, -5.4268293, 3.0487804, -0.0715038
-0.9428711, 0.0639648, 0.2944336, -11.6463413, -5.1829271, 2.5609756, -0.0500191
-0.953125, 0.0581055, 0.2841797, -10.9756098, -4.8780489, 2.3170731, -0.0352483
-0.9604492, 0.0546875, 0.2568359, -10.1829271, -4.4512196, 2.3170731, -0.0305486
-0.9682617, 0.0532227, 0.2407227, -9.5731707, -4.8170733, 2.5, -0.024506
-0.984375, 0.050293, 0.2011719, -9.3902445, -5.0609756, 2.7439024, -0.0231632
-0.9868164, 0.0541992, 0.1835938, -9.2073174, -5.5487804, 2.6829269, -0.0271916
-0.9912109, 0.0527344, 0.1669922, -8.9634151, -5.7926831, 2.5609756, -0.024506
-1.0083008, 0.0478516, 0.1689453, -9.4512196, -6.9512196, 2.2560976, -0.0339055
-1.0136719, 0.043457, 0.1777344, -9.6951218, -7.9268293, 1.8902439, -0.0520333
-1.0170898, 0.0356445, 0.1962891, -8.841464, -8.9024391, 2.2560976, -0.0587472
-1.0146484, 0.0395508, 0.206543, -7.9268293, -9.1463413, 3.1707318, -0.0580758
-1.0024414, 0.0395508, 0.2348633, -7.8658538, -9.5731707, 3.3536587, -0.0627756
-0.9985352, 0.0395508, 0.2392578, -7.3170733, -9.5731707, 4.3292685, -0.0694896
-0.9770508, 0.0546875, 0.2470703, -7.3170733, -9.4512196, 4.5731707, -0.0688182
-0.9643555, 0.0629883, 0.2470703, -7.2560978, -9.5121956, 4.9390244, -0.0694896
-0.9604492, 0.0854492, 0.2490234, -7.5, -9.6341467, 4.8780489, -0.0674754
-0.9506836, 0.0966797, 0.2480469, -7.7439027, -10.2439022, 4.7560978, -0.0540475
-0.9448242, 0.1152344, 0.2519531, -7.7439027, -10.6097565, 4.390244, -0.0433051
-0.9399414, 0.125, 0.2490234, -8.1097565, -10.6097565, 3.3536587, -0.0238346
-0.9375, 0.1259766, 0.25, -8.4146347, -10.5487804, 3.0487804, -0.0003357
-0.9506836, 0.1088867, 0.2514648, -9.2682924, -9.6951218, 1.8292683, 0.0124208
-0.9575195, 0.1020508, 0.2480469, -9.5731707, -9.7560978, 0.8536586, 0.0231632
-0.9672852, 0.0771484, 0.2402344, -9.8170738, -9.5731707, 0.4878049, 0.0332341
-0.9716797, 0.0634766, 0.2348633, -9.4512196, -9.3902445, 0.3658537, 0.0480049
-0.980957, 0.0390625, 0.2265625, -9.2682924, -9.3292685, 0.9756098, 0.0624399
-0.9770508, 0.0336914, 0.2241211, -8.4756098, -9.3902445, 1.6463414, 0.0728466
-0.984375, 0.0239258, 0.222168, -8.1097565, -9.4512196, 1.7073171, 0.0721752
-0.9853516, 0.0195312, 0.2250977, -7.2560978, -10.2439022, 2.3170731, 0.0721752
-0.9848633, 0.0161133, 0.21875, -6.7682929, -10.5487804, 2.4390244, 0.0741894
-0.9853516, 0.0209961, 0.1992188, -6.280488, -11.1585369, 3.2317073, 0.0661326
-0.9853516, 0.0273438, 0.1953125, -5.7926831, -11.4024391, 3.6585367, 0.0500191
-0.9853516, 0.0458984, 0.1835938, -5.7926831, -12.4390249, 4.0243902, 0.0392767
-0.9833984, 0.0493164, 0.1879883, -6.280488, -13.5365858, 4.4512196, 0.0399481
-0.9780273, 0.0683594, 0.2089844, -6.280488, -14.0853662, 4.3292685, 0.0261845
-0.9829102, 0.0786133, 0.21875, -5.9146342, -13.9024391, 4.2682929, 0.0271916
-0.9873047, 0.0898438, 0.2241211, -5.8536587, -13.9634151, 4.0853658, 0.0130922
-0.9848633, 0.0917969, 0.2265625, -5.8536587, -13.9024391, 3.6585367, 0.0006714
-0.9794922, 0.0922852, 0.2329102, -5.7926831, -14.1463413, 3.3536587, -0.021149
-0.9794922, 0.0908203, 0.2314453, -6.280488, -14.2073174, 3.0487804, -0.0332341
-0.9785156, 0.0844727, 0.2211914, -6.3414636, -14.0853662, 3.0487804, -0.0339055
-0.9804688, 0.0883789, 0.2114258, -7.3170733, -13.9634151, 2.8658538, -0.0439765
-0.9819336, 0.0893555, 0.2055664, -7.6829271, -14.1463413, 2.9268293, -0.0540475
-0.9926758, 0.0834961, 0.203125, -7.9878049, -14.3292685, 2.804878, -0.056733
-0.9946289, 0.081543, 0.2075195, -7.8658538, -14.8170738, 2.5, -0.0580758
-0.9975586, 0.0737305, 0.2177734, -7.5609756, -14.9390249, 2.0121951, -0.0715038
-0.9990234, 0.0673828, 0.2211914, -6.6463418, -14.8780489, 1.7073171, -0.0694896
-0.9995117, 0.0458984, 0.2431641, -6.2195125, -14.5121956, 1.7682927, -0.0741894
-0.996582, 0.0415039, 0.2568359, -5.5487804, -14.2073174, 2.1341465, -0.0782177
-0.9838867, 0.0356445, 0.2709961, -4.7560978, -13.7195129, 2.4390244, -0.0809033
-0.9741211, 0.0307617, 0.2758789, -3.2926829, -12.7439032, 3.3536587, -0.0956741
-0.9599609, 0.0327148, 0.2827148, -2.3780489, -12.0731707, 3.7804878, -0.1131304
