Application:, Trigno Discover (1.6.5)
Date/Time:, 04/02/2025 15:12:14
Collection Length (seconds):, 31.779
wrist (81457), , , , , , bicep (81139)
sensor mode: 609, , , , , , sensor mode: 40
ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
-1.0385742, 0.0830078, -0.090332, -43.4146347, -16.3414631, -8.1707315, -0.0364233
-1.0444336, 0.0776367, -0.0908203, -42.2560997, -16.6463413, -7.8048782, -0.0676432
-1.043457, 0.078125, -0.0859375, -41.4634171, -17.1341476, -7.3780489, -0.1062486
-1.0351562, 0.0874023, -0.081543, -40.9146347, -17.439024, -6.280488, -0.1263905
-1.0268555, 0.0986328, -0.0776367, -40.4268303, -17.1951218, -5.9756098, -0.13579
-1.0209961, 0.1015625, -0.074707, -39.8170738, -16.0975609, -5.9146342, -0.1500572
-1.0048828, 0.1015625, -0.0830078, -39.3902435, -15.6707325, -6.1585369, -0.19823
-1.0029297, 0.0922852, -0.0869141, -39.4512215, -15.9756098, -7.1341467, -0.2386816
-1.0058594, 0.0927734, -0.0859375, -39.0243912, -16.0365849, -7.9878049, -0.2559701
-1.0117188, 0.0922852, -0.0878906, -39.3292694, -16.5853653, -8.2317076, -0.2791333
-1.0161133, 0.1010742, -0.09375, -39.3292694, -16.6463413, -7.8048782, -0.2918898
-1.0200195, 0.1049805, -0.0932617, -39.1463432, -16.1585369, -6.7073174, -0.2952468
-1.0195312, 0.109375, -0.0864258, -39.3292694, -16.1585369, -6.0365853, -0.3264668
-1.0166016, 0.1103516, -0.0878906, -39.3292694, -16.0365849, -6.2195125, -0.3623865
-1.0112305, 0.1132812, -0.0913086, -39.3902435, -15.9146347, -6.9512196, -0.3687648
-1.0166016, 0.1118164, -0.0996094, -39.2682953, -15.7317076, -7.3780489, -0.3805142
-1.0170898, 0.1098633, -0.1005859, -39.7560997, -15.3658543, -8.1097565, -0.4003204
-1.0180664, 0.1005859, -0.0986328, -39.9390259, -15.6097565, -8.2317076, -0.3924315
-1.0200195, 0.0957031, -0.09375, -40.3048782, -15.6707325, -8.5975609, -0.3701076
-1.0185547, 0.0883789, -0.0795898, -40.3658562, -15.7317076, -8.2317076, -0.403006
-1.0180664, 0.0834961, -0.0712891, -39.4512215, -15.2439032, -7.5609756, -0.406363
-1.0112305, 0.0756836, -0.0683594, -39.0243912, -14.7560978, -7.6829271, -0.3962921
-1.0092773, 0.0756836, -0.0664062, -37.8658562, -14.3292685, -7.5609756, -0.3761501
-1.0107422, 0.0727539, -0.0727539, -37.0121956, -14.0853662, -7.6219516, -0.3492943
-1.0146484, 0.0795898, -0.0727539, -36.5853653, -13.7195129, -7.1951222, -0.3076677
-1.0078125, 0.0957031, -0.081543, -35.9146347, -12.8658543, -5.9756098, -0.3002823
-1.0039062, 0.105957, -0.0791016, -35.6097565, -12.7439032, -5.5487804, -0.3123674
-1.0014648, 0.1118164, -0.0810547, -35.7926826, -12.2560978, -4.9390244, -0.2868544
-0.9863281, 0.1054688, -0.0864258, -35.6097565, -12.1341467, -5.1219511, -0.2554665
-0.9868164, 0.0996094, -0.0878906, -35.7317085, -11.4024391, -6.2195125, -0.2116579
-0.9897461, 0.0883789, -0.0888672, -35.4268303, -11.7073174, -6.9512196, -0.1950408
-0.9907227, 0.0844727, -0.0854492, -35.5487823, -12.1951218, -7.4390244, -0.1918517
-1.0019531, 0.0834961, -0.0810547, -35.1829262, -12.3780489, -7.1951222, -0.173724
-1.0087891, 0.0883789, -0.0800781, -34.0853653, -12.4390249, -6.3414636, -0.1535821
-1.0092773, 0.0922852, -0.081543, -33.4146347, -11.8902445, -4.3292685, -0.1284047
-1.0014648, 0.1035156, -0.0888672, -33.2926826, -12.1341467, -3.7804878, -0.1418326
-1.0019531, 0.1113281, -0.0908203, -33.4146347, -12.0121956, -3.8414636, -0.1310903
-1.0058594, 0.121582, -0.1010742, -33.5975609, -12.1341467, -3.9634147, -0.1193408
-1.0068359, 0.1293945, -0.0986328, -34.3292694, -12.0731707, -4.8780489, -0.1062486
-1.0175781, 0.1376953, -0.0986328, -34.7560997, -11.9512196, -5.4268293, -0.1132982
-1.019043, 0.1416016, -0.0952148, -35.1219521, -12.0731707, -5.7317076, -0.1049058
-1.0195312, 0.1396484, -0.0883789, -35.3048782, -12.3170738, -6.1585369, -0.1065843
-1.0151367, 0.140625, -0.0776367, -35.9756088, -11.7682934, -6.8292685, -0.1186694
-1.0107422, 0.1352539, -0.0756836, -36.341465, -11.0365858, -7.6219516, -0.1178302
-1.0063477, 0.1362305, -0.0727539, -37.0731697, -10.7317076, -8.0487804, -0.1475395
-0.9970703, 0.1347656, -0.0649414, -37.2560997, -9.8780489, -8.1097565, -0.1720455
-0.9873047, 0.1313477, -0.0537109, -36.9512215, -9.2682924, -7.8658538, -0.1861448
-0.9799805, 0.1274414, -0.050293, -36.2804871, -8.5975609, -7.9268293, -0.1968872
-0.9731445, 0.1147461, -0.0498047, -36.0975609, -7.9878049, -8.1707315, -0.2358282
-0.9711914, 0.1079102, -0.0512695, -35.4268303, -7.3170733, -8.2317076, -0.2529488
-0.9682617, 0.1005859, -0.0566406, -35.6097565, -6.7073174, -8.5975609, -0.2784619
-0.9697266, 0.0942383, -0.0605469, -35.7317085, -5.9756098, -9.0853662, -0.3053178
-0.9804688, 0.0869141, -0.0664062, -35.5487823, -5.7317076, -8.5365858, -0.31841
-0.9887695, 0.0849609, -0.0678711, -35.4268303, -5.9146342, -7.6219516, -0.3210956
